5632 7 7 0.0 0.0 9.95 0.005405 0.0451808 1.7137208 0.0096772 0.0013458 0.0022461 0.0013742 0.0 95.3638535 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
5760 7 7 0.0 0.0 9.8 0.0049971 0.0472774 1.755728 0.0026592 0.0010159 0.0024096 0.0008388 0.0 95.0148362 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
5888 7 7 0.0 0.0 9.63 0.0049289 0.0476701 1.9181335 -0.0010855 0.0008168 0.0024897 0.000747 0.0 95.0033934 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
6016 7 7 0.0 0.0 9.68 0.0051594 0.0475449 1.8951559 0.001545 0.0012011 0.0025462 0.0006788 0.0 95.1109025 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
6144 7 7 0.0 0.0 9.82 0.004301 0.0434295 2.0519438 0.0013689 0.0009385 0.0023793 0.000516 0.0 95.4884336 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
6272 7 7 0.0 0.0 9.9 0.0041156 0.0420815 1.9437755 0.0032321 0.0008309 0.0021573 0.0004907 0.0 95.7623358 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
6400 7 7 0.0 0.0 9.4 0.0040143 0.0443377 1.8205169 0.0019968 0.0008409 0.0022292 0.0005042 0.0 95.4498834 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
6528 7 7 0.0 0.0 9.61 0.0040782 0.0463235 1.8216862 0.0037982 0.0006657 0.0019276 0.0004455 0.0 94.9618655 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
6656 8 8 0.0 0.0 9.57 0.0038958 0.0445667 2.030102 0.0055718 0.0010204 0.0019657 0.001555 0.0 95.2470252 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
6784 8 8 0.0 0.0 9.34 0.0039591 0.0440073 2.1329391 0.0058506 0.000684 0.0016823 0.0006753 0.0 95.3276087 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
6912 8 8 0.0 0.0 9.51 0.0037927 0.0433974 2.1991509 0.0026519 0.0006247 0.0017754 0.0008112 0.0 95.5565736 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
7040 8 8 0.0 0.0 9.33 0.0037595 0.0451754 2.2568747 0.0023084 0.0005516 0.0017468 0.0005987 0.0 95.0303749 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
7168 8 8 0.0 0.0 9.44 0.0034882 0.0385994 2.127711 -0.0012666 0.0005015 0.0019295 0.0005035 0.0 96.064483 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
7296 8 8 0.0 0.0 9.65 0.0038729 0.0439851 2.1161437 -0.0019972 0.0018487 0.0019206 0.00297 0.0 95.455154 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
7424 8 8 0.0 0.0 9.61 0.0044452 0.0419058 2.123088 0.0004142 0.0006209 0.0017953 0.0005909 0.0 95.6650397 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
7552 8 8 0.0 0.0 10.0 0.0039701 0.0442701 1.9583139 -0.0057951 0.0012856 0.0022578 0.0017839 0.0 95.074551 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
7680 9 9 0.0 0.0 9.94 0.0037459 0.0423747 2.0046444 0.0008849 0.0006562 0.0018449 0.000544 0.0 95.3940504 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
7808 9 9 0.0 0.0 10.27 0.0035281 0.0391802 1.8192828 -0.0006815 0.0005204 0.0018178 0.0004286 0.0 95.8672225 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
7936 9 9 0.0 0.0 10.19 0.0038857 0.0418917 1.8610234 0.0027433 0.0004665 0.0015995 0.0003646 0.0 95.4916335 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
8064 9 9 0.0 0.0 10.35 0.0040913 0.0420294 2.013319 -0.008552 0.0014667 0.0021952 0.001683 0.0 95.5159114 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
8192 10 10 0.0 0.0 10.22 0.0039021 0.0407759 2.0582548 -0.0035459 0.0006791 0.0020228 0.0006933 0.0 95.6532637 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
8320 10 10 0.0 0.0 9.59 0.003912 0.0411272 2.0957323 0.0037626 0.0005367 0.0015296 0.0005241 0.0 95.4491432 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
8448 11 11 0.0 0.0 10.01 0.0040217 0.0398121 1.9575869 -0.0043738 0.0008542 0.0020285 0.0015778 0.0 95.7624744 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
8576 11 11 0.0 0.0 9.88 0.0035836 0.0433436 1.9433881 -0.0012273 0.0005754 0.0017511 0.0011187 0.0 95.2546113 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
8704 12 12 0.0 0.0 9.77 0.0038319 0.0431338 2.118394 -0.0005005 0.0006382 0.0017292 0.0006818 0.0 95.2284473 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
8832 13 13 0.0 0.0 9.68 0.0035028 0.0408676 2.071166 0.0011319 0.0004614 0.0015717 0.000452 0.0 95.5832372 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
8960 13 13 0.0 0.0 9.99 0.00327 0.0387608 2.0466923 -0.0102317 0.000462 0.0022843 0.0007029 0.0 95.8920281 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
9088 13 13 0.0 0.0 9.68 0.0032319 0.0394527 1.8845418 0.0006172 0.0003641 0.0015343 0.0003659 0.0 95.8769409 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
9216 13 13 0.0 0.0 9.78 0.0028704 0.038011 2.0061174 -0.0001495 0.0002931 0.0015317 0.0005482 0.0 95.8977343 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
9344 13 13 0.0 0.0 9.69 0.0029532 0.0374321 2.1900094 0.0039481 0.0004332 0.001377 0.0003838 0.0 95.9988486 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
9472 13 13 0.0 0.0 9.66 0.0030467 0.0375086 2.2433337 0.0035452 0.0004153 0.0013184 0.0003501 0.0 96.0594268 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
9600 13 13 0.0 0.0 9.33 0.0031025 0.0364079 2.2263992 0.000313 0.0003808 0.0014023 0.00055 0.0 96.1787073 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
9728 13 13 0.0 0.0 9.61 0.002661 0.035394 1.960638 -0.00069 0.0002867 0.0013327 0.0003827 0.0 96.1816968 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
9856 14 14 0.0 0.0 9.55 0.0030172 0.0413074 1.8843817 0.0006509 0.0002788 0.0012177 0.0003359 0.0 95.4633191 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
9984 14 14 0.0 0.0 9.61 0.0030358 0.0386841 1.8514561 -0.0025484 0.000272 0.0014084 0.0004486 0.0 95.8077661 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
10112 14 14 0.0 0.0 9.59 0.0031609 0.0389167 1.6858062 -0.0057744 0.0002698 0.0016131 0.0004188 0.0 95.7063873 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
10240 14 14 0.0 0.0 9.53 0.0033151 0.0385224 1.6635166 -0.0035447 0.0002827 0.0014442 0.0006796 0.0 95.7141419 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
10368 14 14 0.0 0.0 8.95 0.0034662 0.0386517 1.956632 -0.0043635 0.0002876 0.0015228 0.0003952 0.0 95.722169 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
10496 14 14 0.0 0.0 9.44 0.0037157 0.0369508 2.2442706 -0.0030532 0.0003797 0.0014623 0.0009239 0.0 96.0799483 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
10624 14 14 0.0 0.0 9.16 0.0030885 0.0357218 2.0820007 -0.008617 0.0003319 0.0018816 0.0004728 0.0 96.2341918 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
10752 14 14 0.0 0.0 9.66 0.0032958 0.0377421 1.9544171 -0.0059787 0.0003989 0.001832 0.0004338 0.0 95.9931726 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
10880 15 15 0.0 0.0 9.5 0.0040933 0.037787 2.1720014 -0.0089291 0.0005186 0.0020483 0.001074 0.0 95.9709291 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
11008 15 15 0.0 0.0 9.41 0.003624 0.0370511 2.0107602 -0.0077632 0.0007154 0.001934 0.0009057 0.0 96.0798028 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
11136 15 15 0.0 0.0 9.7 0.0029469 0.0348039 1.9087928 -0.0033877 0.0004665 0.0018003 0.0004918 0.0 96.2794011 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
11264 15 15 0.0 0.0 9.51 0.0032855 0.0334256 2.0033216 -0.0005898 0.0003666 0.0015948 0.00037 0.0 96.3834566 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
11392 15 15 0.0 0.0 9.74 0.0035849 0.0359488 2.2030038 -0.0012042 0.0007201 0.0016007 0.0014446 0.0 96.0871737 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
11520 15 15 0.0 0.0 9.72 0.0031502 0.0359018 2.0263361 -0.0017734 0.0003517 0.0016031 0.0006108 0.0 96.2602755 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
11648 15 15 0.0 0.0 9.7 0.0028351 0.0342366 1.9527385 6.61e-05 0.0004012 0.0015355 0.0008112 0.0 96.2158656 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
11776 16 16 0.0 0.0 9.82 0.0031057 0.034372 2.1537837 -0.0015488 0.000773 0.0015581 0.0015034 0.0 96.3174719 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
11904 16 16 0.0 0.0 9.6 0.0034412 0.0334278 2.2829989 -0.0012266 0.0004224 0.0015846 0.0008531 0.0 96.8201144 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
12032 16 16 0.0 0.0 9.71 0.0032815 0.0336011 2.1272849 -0.0066259 0.0003934 0.0019253 0.0006645 0.0 96.6413686 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
12160 16 16 0.0 0.0 9.99 0.0029929 0.0328297 2.0756104 -0.0029725 0.0004983 0.0016709 0.0007597 0.0 96.735107 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
12288 16 16 0.0 0.0 9.8 0.0033495 0.0331769 2.0166691 -0.0022896 0.0004365 0.0015816 0.0011354 0.0 96.673617 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
12416 16 16 0.0 0.0 9.35 0.0029983 0.0345116 2.0876201 -0.006762 0.0004655 0.0018812 0.0013774 0.0 96.5361835 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
